timestamp,s1_c1_y,s1_c2_y,s2_c1_y,s2_c2_y,s3_c1_y,s3_c2_y,s4_c1_y,s4_c2_y,s5_c1_y,s5_c2_y,s6_c1_y,s6_c2_y
27,0,48,0,32,0,60,0,4.9306,0,29.9,0,34.7
28,0,48,0,32,0,60,0,4.8022,0,29.6,0,34.4
29,0,48,0,32,0,60,0,4.6839,0,29.3,0,34.1
30,0,48,0,32,0,60,0,4.5756,0,29,0,33.8
31,0,48,0,32,0,60,0,4.4772,0,28.7,0,33.5
32,0,48,0,32,0,60,0,4.3889,0,28.4,0,33.2
33,0,48,0,32,0,60,0,4.3106,0,28.1,0,32.9
34,0,48,0,32,0,60,0,4.2422,0,27.8,0,32.6
35,0,48,0,32,0,60,0,4.1839,0,27.5,0,32.3
36,0,48,0,32,0,60,0,4.1355,0,27.2,0,32
37,0,48,0,32,0,60,0,4.0965,0,26.9,0,31.7
38,0,48,0,32,0,60,0,4.0657,0,26.6,0,31.4
39,0,48,0,32,0,60,0,4.0423,0,26.3,0,31.1
40,0,48,0,32,0,60,0,4.0253,0,26,0,30.8
41,0,48,0,32,0,60,0,4.0136,0,25.7,0,30.5
42,0,48,0,32,0,60,0,4.0062,0,25.4,0,30.2
43,0.000166667,48,0,32,0,60,0,4.0021,0,25.1,0,29.9
44,0.00133333,48,0,32,0,60,0,4.0004,0,24.8,0,29.6
45,0.0045,48,0,32,0,60,0,4,0,24.5,0,29.3
46,0.0106667,48,0,32,0,60,0,4,0,24.2,0,29
47,0.0208333,48,0,32,0,60,0,4,0,23.9,0,28.7
48,0.036,48,0,32,0,60,0,4,0,23.6,0,28.4
49,0.0571667,48,0,32,0,60,0,4,0,23.3,0,28.1
50,0.0853333,48,0,32,0,60,0,4,0,23,0,27.8
51,0.1215,48,0,32,0,60,0,4,0,22.7,0,27.5
52,0.166667,48,0,32,0,60,0,4,0,22.4,0,27.2
53,0.221667,48,0,32,0,60,0,4,0,22.1,0,26.9
54,0.286667,48,0,32,0,60,0,4,0,21.8,0,26.6
55,0.361667,48,0,32,0,60,0,4,0,21.5,0,26.3
56,0.446667,48,0,32,0,60,0,4,0,21.2,0,26
57,0.541667,48,0,32,0,60,0,4,0,20.9,0,25.7
58,0.646667,48,0,32,0,60,0,4,0,20.6,0,25.4
59,0.761667,48,0,32,0,60,0,4,0,20.3,0,25.1
60,0.886667,48,0,32,0,60,0,4,0,20,0,24.8
61,1.02167,48,0,32,0,60,0,4,0,19.7,0,24.5
62,1.16667,48,0,32,0,60,0,4,0,19.4,0,24.2
63,1.3215,48,0,32,0,60,0,4,0,19.1,0,23.9
64,1.48533,48,0,32,0,60,0,4,0,18.8,0,23.6
65,1.65717,48,0,32,0,60,0,4,0,18.5,0,23.3
66,1.836,48,0,32,0,60,0,4,0,18.2,0,23
67,2.02083,48,0,32,0,60,0,4,0,17.9,0,22.7
68,2.21067,48,0,31.9998,0,60,0,4,0,17.6,0,22.4
69,2.4045,48,0,31.9987,0,60,0,4,0,17.3,0,22.1
70,2.60133,48.0002,0,31.9955,0,60,0,4,0,17,0,21.8
71,2.80017,48.0013,0,31.9893,0,60,0,4,0,16.7,0,21.5
72,3,48.0045,0,31.9792,0,60,0,4,0,16.4,0,21.2
73,3.2,48.0107,0,31.964,0,60,0,4,0,16.1,0,20.9
74,3.4,48.0208,0,31.9428,0,60,0,4,0,15.8,0,20.6
75,3.6,48.036,0,31.9147,0,60,0,4,0,15.5,0,20.3
76,3.8,48.0572,0,31.8785,0,60,0,4,0,15.2,0,20
77,4,48.0853,0,31.8333,0,60,0,4,0,14.9,0,19.7
78,4.2,48.1215,0,31.7783,0,60,0,4,0,14.6,0,19.4
79,4.4,48.1667,0,31.7133,0,60,0,4,0,14.3,0,19.1
80,4.6,48.2217,0,31.6383,0,60,0,4,0,14,0,18.8
81,4.8,48.2867,0,31.5533,0,59.9998,0,4,0,13.7,0,18.5
82,5,48.3617,0,31.4583,0,59.9987,0,4,0,13.4,0,18.2
83,5.2,48.4467,0,31.3533,0,59.9955,0,4,0,13.1,0,17.9
84,5.4,48.5417,0,31.2383,0,59.9893,0,4,0,12.8,0,17.6
85,5.6,48.6467,0,31.1133,0,59.9792,0,4,0,12.5,0,17.3
86,5.8,48.7617,0,30.9783,0,59.964,0,4,0,12.2,0,17
87,6,48.8867,0,30.8333,0,59.9428,0,4,0,11.9,0,16.7
88,6.2,49.0217,0,30.6783,0,59.9147,0,4,0,11.6,0,16.4
89,6.4,49.1667,0,30.5133,0,59.8785,0,4,0,11.3,0,16.1
90,6.6,49.3217,0,30.3383,0,59.8333,0,4,0,11,0,15.8
91,6.8,49.4867,0,30.1533,0,59.7783,0,4,0,10.7,0,15.5
92,7,49.6617,0,29.9583,0,59.7133,0,4,0,10.4,0,15.2
93,7.2,49.8467,0,29.7533,0,59.6383,0,4,0,10.1,0,14.9
94,7.4,50.0417,0,29.5383,0,59.5533,0,4,0,9.8,0,14.6
95,7.6,50.2467,0,29.3133,0,59.4583,0,4,0,9.5008,0,14.3
96,7.8,50.4617,0,29.0783,0,59.3533,0,4,0,9.2032,0,14
97,8,50.6867,0,28.8333,0,59.2383,0,4,0,8.9082,0,13.7
98,8.2,50.9217,0,28.5785,0,59.1133,0,4,0,8.6169,0,13.4
99,8.4,51.1667,0,28.3147,0,58.9783,0,4,0,8.3303,0,13.1
100,8.6,51.4215,0,28.0428,0,58.8333,0,4.00017,0,8.0494,0,12.8
101,8.8,51.6853,0,27.764,0,58.6783,0,4.00133,0,7.7751,0,12.5
